,Unnamed: 0,职位名,链接,公司,工作地点,薪资,经验,学历,地区,月薪,大专,本科,硕士,高中
30,49,python开发,http://jobs.51job.com/shanghai-pdxq/84528908.html?s=01&t=0,联车（上海）信息科技有限公司,上海-浦东新区,1.1-2万/月,3-4年经验,本科,0,15500.0,0,1,0,0
31,50,Python软件工程师,http://jobs.51job.com/ningbo-zhq/87341499.html?s=01&t=0,宁波市人才服务中心,宁波-镇海区,0.6-1.2万/月,2年经验,本科,17,9000.0,0,1,0,0
32,51,Python开发工程师,http://jobs.51job.com/guangzhou/84835721.html?s=01&t=0,赛业（广州）生物科技有限公司,广州,6-8千/月,1年经验,大专,19,7000.0,1,0,0,0
33,55,Python开发工程师,http://jobs.51job.com/wuhan-hsq/87834739.html?s=01&t=0,深圳市蓝泰源信息技术股份有限公司,武汉-洪山区,0.9-1.6万/月,3-4年经验,本科,25,12500.0,0,1,0,0
34,56,python开发工程师,http://jobs.51job.com/shanghai-xhq/75637335.html?s=01&t=0,上海华屹数码科技有限公司,上海-徐汇区,1-1.5万/月,1年经验,本科,0,12500.0,0,1,0,0
35,59,服务器开发工程师(Python),http://jobs.51job.com/harbin/86426178.html?s=01&t=0,哈尔滨福特威尔科技有限公司,哈尔滨,0.5-1.2万/月,2年经验,本科,12,8500.0,0,1,0,0
36,61,(ID60264)汽车电子-嵌入式工具开发C/Perl/Python,http://jobs.51job.com/shanghai/90430552.html?s=01&t=0,上海任仕达人才服务有限公司,上海,0.8-1万/月,1年经验,本科,0,9000.0,0,1,0,0
37,63,Python开发工程师,http://jobs.51job.com/shanghai-mhq/91590894.html?s=01&t=0,艺链（上海）实业有限公司,上海-闵行区,1-1.5万/月,2年经验,本科,0,12500.0,0,1,0,0
38,65,Python开发工程师,http://jobs.51job.com/shanghai/91698659.html?s=01&t=0,Sumscope,上海,1-2万/月,2年经验,本科,0,15000.0,0,1,0,0
39,67,Python/Go 运维开发工程师,http://jobs.51job.com/shanghai-hpq/87385195.html?s=01&t=0,上海厚本金融信息服务有限公司,上海-黄浦区,1.5-2万/月,3-4年经验,本科,0,17500.0,0,1,0,0
40,70,Python,http://jobs.51job.com/suzhou-gyyq/77055363.html?s=01&t=0,苏州意能通信息技术有限公司,苏州-工业园区,0.5-1万/月,1年经验,本科,36,7500.0,0,1,0,0
41,71,Python开发工程师,http://jobs.51job.com/wuhan-jhq/90675799.html?s=01&t=0,善缘金金融,武汉-江汉区,4-8千/月,无工作经验,本科,25,6000.0,0,1,0,0
42,73,RD-java/Python发工程师,http://jobs.51job.com/shenzhen/91481865.html?s=01&t=0,中控智慧科技股份有限公司,深圳,4-5千/月,1年经验,大专,30,4500.0,1,0,0,0
43,76,Python开发工程师,http://jobs.51job.com/shenzhen-ftq/87813855.html?s=01&t=0,深圳市网新新思软件有限公司,深圳-福田区,0.9-1.6万/月,3-4年经验,本科,30,12500.0,0,1,0,0
44,78,Python开发工程师/Python程序员/python/爬虫工程师,http://jobs.51job.com/haining/84483815.html?s=01&t=0,海宁好德软件科技有限公司杭州分公司,海宁,6-8千/月,2年经验,大专,29,7000.0,1,0,0,0
45,81,Python开发工程师,http://jobs.51job.com/hangzhou-bjq/76899475.html?s=01&t=0,杭州筑龙信息技术股份有限公司,杭州-滨江区,1.5-2万/月,1年经验,大专,24,17500.0,1,0,0,0
46,86,Python开发工程师,http://jobs.51job.com/wuhan/79606809.html?s=01&t=0,武汉云页移动科技有限公司,武汉,1.2-1.5万/月,3-4年经验,本科,25,13500.0,0,1,0,0
47,87,Python开发工程师,http://jobs.51job.com/chengdu-gxq/91544729.html?s=01&t=0,四川上尚善网络科技有限公司,成都-高新区,1-1.2万/月,2年经验,本科,21,11000.0,0,1,0,0
48,88,Python程序员,http://jobs.51job.com/shenzhen-nsq/91779158.html?s=01&t=0,深圳前海橙色魔方信息技术有限公司,深圳-南山区,0.9-1.3万/月,3-4年经验,本科,30,11000.0,0,1,0,0
